Metric,Value
Average Root Mean Squared Error,1.2204810714207792
Average Mean Absolute Error,1.010905608534813
Average Pearson Correlation,0.46399642519344964
Average QWK,0.33960376225735434
Average Precision,1.0
Average Recall,0.7456647398843931
