noun_count,verb_count,adj_count,adv_count,pronoun_count,modal_count,complexity_verb_ratio,adj_adv_ratio,avg_sentence_length,avg_syllables_per_word,flesch_reading_ease,tfidf_cosine_similarity,sbert_prompt_adherence_similarity,mean_tfidf_score,std_tfidf_score,unique_word_ratio,window_repeat_count,num_grammatical_errors,score
97,66,31,20,18,7,4.714285714285714,0.1424581005586592,25.5,1.6,45.59,0.4483438939050607,0.66193813,0.04282276434170591,0.06025522158661156,0.5167597765363129,138,27,7.5
86,51,32,21,10,4,3.642857142857143,0.17041800643086816,22.0,1.7,40.69,0.37206224706949304,0.63274527,0.054547355842100125,0.0535960743619304,0.5562700964630225,84,23,5.0
97,67,21,24,19,19,3.35,0.11278195488721804,19.1,1.6,52.09,0.34219456664923403,0.55129206,0.03970953954141672,0.06588104608096527,0.42606516290726815,158,46,5.5
94,70,36,16,9,6,6.363636363636363,0.14606741573033707,29.8,1.7,32.77,0.314443544481805,0.6320541,0.038878233393330165,0.05885242005494081,0.5646067415730337,127,23,5.5
41,46,22,19,16,2,1.9166666666666667,0.18981481481481483,9.3,1.6,62.04,0.30367438734826957,0.71146196,0.06804138174397717,0.07060987881136029,0.49074074074074076,44,35,4.0
47,35,20,11,12,4,2.9166666666666665,0.15346534653465346,16.5,1.7,46.27,0.3350493324628491,0.57542354,0.0692075865833584,0.07647619127314968,0.4752475247524752,78,19,5.5
63,45,14,9,18,4,5.625,0.09745762711864407,29.0,1.5,50.5,0.34306778365141205,0.61322105,0.0675553390822781,0.060833699307175,0.5169491525423728,96,14,5.0
62,55,23,24,20,5,4.230769230769231,0.16666666666666666,21.5,1.7,41.19,0.3856798312891864,0.5740456,0.05498528906498988,0.05646058900386275,0.574468085106383,76,28,4.0
57,46,19,12,8,5,3.8333333333333335,0.13537117903930132,19.1,1.7,43.63,0.41121106317338346,0.7456968,0.06357332477837827,0.0614079178658814,0.5676855895196506,52,18,4.0
23,9,5,1,4,0,9.0,0.10714285714285714,58.0,3.0,-105.84,0.27863004250152185,0.5411897,0.1252589155244741,0.06565214453186319,0.7678571428571429,0,2,4.0
53,20,17,14,4,10,2.857142857142857,0.18235294117647058,24.3,1.7,38.35,0.255894740187201,0.7222736,0.08644522388706656,0.06446029974999438,0.5117647058823529,70,15,4.5
86,57,34,12,7,11,3.8,0.14838709677419354,20.3,1.7,42.41,0.3884717231064029,0.6871622,0.051926950261109744,0.06231002491574921,0.4935483870967742,98,26,6.5
74,75,25,21,18,4,4.411764705882353,0.14465408805031446,17.8,1.7,44.95,0.37395695119549477,0.5489092,0.05474251380989294,0.05150703540195235,0.5566037735849056,65,32,7.5
47,26,12,6,1,5,3.7142857142857144,0.12,21.4,1.8,32.83,0.26617222341866154,0.65842515,0.07046483049267568,0.07839527265562377,0.6133333333333333,50,12,4.5
89,57,24,15,10,8,4.071428571428571,0.1326530612244898,21.0,1.8,33.24,0.27682832517458017,0.57399416,0.05113285596616231,0.05777380023094077,0.5782312925170068,77,20,6.5
89,57,24,15,11,10,3.5625,0.13043478260869565,18.7,1.7,44.03,0.28137045788934056,0.5897101,0.050704707207009925,0.05814992364081271,0.568561872909699,74,24,6.5
93,68,33,22,9,13,3.5789473684210527,0.1608187134502924,17.1,1.8,37.2,0.2645435452890478,0.5964314,0.044018204342456575,0.054225883736030926,0.5994152046783626,77,27,8.0
108,68,35,23,10,12,3.4,0.1554959785522788,17.7,1.9,28.13,0.21830127659653914,0.5283306,0.04285908872144012,0.053049611729638506,0.5737265415549598,76,28,7.5
114,66,35,23,13,10,3.0,0.15104166666666666,17.4,1.8,36.89,0.2602518793639344,0.5476475,0.04253688048220297,0.05475679050615628,0.5416666666666666,75,32,5.5
96,66,41,18,18,8,3.6666666666666665,0.1638888888888889,19.7,1.8,34.56,0.27038737728227774,0.57531786,0.04311821884587441,0.056491806964057464,0.5555555555555556,100,34,7.5
42,27,15,16,9,3,3.375,0.19254658385093168,20.1,1.7,42.61,0.37844716454445465,0.77636397,0.08362477771734798,0.054835176225887496,0.6335403726708074,32,14,4.0
55,46,21,28,11,8,3.2857142857142856,0.2033195020746888,17.1,1.8,37.2,0.38263155495442075,0.68349415,0.06093084356521016,0.05770342991156286,0.5933609958506224,44,28,7.0
80,52,22,20,20,9,3.25,0.13815789473684212,18.9,1.7,43.83,0.3156387158309387,0.6073701,0.05347749437559163,0.054041691462405325,0.5723684210526315,70,25,6.0
68,49,29,19,10,6,4.9,0.1696113074204947,25.7,1.8,28.47,0.3883644926866615,0.6847684,0.04722222222222223,0.06340395672507403,0.5724381625441696,98,19,8.0
108,68,39,23,11,5,4.857142857142857,0.16621983914209115,26.2,1.8,27.96,0.2474380817772937,0.6154038,0.04150413283438366,0.051237028061962744,0.6219839142091153,96,23,6.5
71,35,18,4,7,6,3.5,0.09482758620689655,22.9,1.8,31.31,0.3173171367693578,0.49261618,0.05415868678265602,0.07073432393460828,0.5517241379310345,99,17,5.0
65,67,25,20,23,10,4.1875,0.14950166112956811,18.8,1.6,52.39,0.2979979926280051,0.467466,0.054317290067781056,0.05479062832340476,0.5614617940199336,67,34,7.0
53,32,21,9,8,2,4.571428571428571,0.15789473684210525,17.5,1.7,45.25,0.29665158185302,0.72750723,0.070022861806165,0.06600044002682089,0.5631578947368421,82,11,5.0
32,16,8,6,4,2,3.2,0.13861386138613863,16.5,1.7,46.27,0.24050010553905027,0.5631515,0.09939493523229095,0.07103534320672385,0.6831683168316832,33,8,4.0
