noun_count,verb_count,adj_count,adv_count,pronoun_count,modal_count,complexity_verb_ratio,adj_adv_ratio,avg_sentence_length,avg_syllables_per_word,flesch_reading_ease,tfidf_cosine_similarity,sbert_prompt_adherence_similarity,mean_tfidf_score,std_tfidf_score,unique_word_ratio,window_repeat_count,num_grammatical_errors,lt_error_count,avg_dependency_distance,contrast_marker_ratio,addition_marker_ratio,cause_effect_marker_ratio,avg_adjacent_sentence_similarity,score,Task_Achievement,Cohesion,Vocabulary,Grammar
97,66,31,20,18,7,4.714285714285714,0.1424581005586592,25.5,1.6,45.59,0.4483438939050607,0.6619382,0.04282276434170591,0.06025522158661156,0.5167597765363129,138,27,20,2.5652173913043477,0.0,0.21428571428571427,0.14285714285714285,0.4521983861923218,7.5,7.0,7.5,7.0,7.0
96,68,21,24,19,19,3.4,0.11278195488721804,19.1,1.6,52.09,0.34219456664923403,0.5512922,0.03970953954141672,0.06588104608096527,0.42606516290726815,158,46,21,2.203125,0.1,0.15,0.1,0.42641520500183105,6.5,6.5,6.5,6.0,6.0
47,35,20,11,12,4,2.9166666666666665,0.15346534653465346,16.5,1.7,46.27,0.33504933246284907,0.5754236,0.0692075865833584,0.07647619127314968,0.4752475247524752,78,19,16,2.4210526315789473,0.25,0.08333333333333333,0.08333333333333333,0.4260849058628082,4.0,4.5,3.5,3.5,3.5
62,55,23,24,20,5,4.230769230769231,0.16666666666666666,21.5,1.7,41.19,0.3856798312891863,0.57404554,0.05498528906498988,0.05646058900386275,0.574468085106383,76,28,22,2.243542435424354,0.23076923076923078,0.23076923076923078,0.07692307692307693,0.41059577465057373,3.0,3.5,3.0,3.0,3.0
74,75,25,21,18,4,4.166666666666667,0.14465408805031446,17.8,1.7,44.95,0.37395695119549477,0.5489093,0.05474251380989294,0.05150703540195235,0.5566037735849056,62,32,27,2.2880794701986753,0.1111111111111111,0.1111111111111111,0.16666666666666666,0.3716602921485901,7.5,7.0,8.0,7.0,7.0
89,57,24,15,10,8,4.071428571428571,0.1326530612244898,21.0,1.8,33.24,0.27682832517458,0.5739941,0.05113285596616231,0.05777380023094077,0.5782312925170068,77,20,19,2.294736842105263,0.07142857142857142,0.07142857142857142,0.0,0.4562234878540039,7.0,7.0,7.5,7.0,7.0
93,68,33,22,9,13,3.4,0.1608187134502924,17.1,1.8,37.2,0.2645435452890479,0.5964315,0.044018204342456575,0.054225883736030926,0.5994152046783626,73,28,23,2.1314984709480123,0.15,0.05,0.15,0.3783482611179352,8.0,8.0,7.5,7.5,8.0
108,68,35,23,10,12,3.238095238095238,0.1554959785522788,17.7,1.9,28.13,0.21830127659653914,0.5283307,0.04285908872144012,0.053049611729638506,0.5737265415549598,72,29,25,2.214484679665738,0.14285714285714285,0.047619047619047616,0.047619047619047616,0.37233036756515503,7.5,8.0,8.0,7.5,7.5
96,66,41,18,18,8,3.6666666666666665,0.1638888888888889,19.7,1.8,34.56,0.27038737728227774,0.575318,0.04311821884587441,0.056491806964057464,0.5555555555555556,100,34,23,2.365994236311239,0.1111111111111111,0.16666666666666666,0.16666666666666666,0.37491679191589355,7.5,8.0,7.5,7.0,7.0
68,49,29,19,10,6,4.454545454545454,0.1696113074204947,25.7,1.8,28.47,0.3883644926866615,0.6847683,0.04722222222222223,0.06340395672507403,0.5724381625441696,93,19,15,2.6036363636363635,0.09090909090909091,0.36363636363636365,0.18181818181818182,0.4528546929359436,7.0,7.5,6.0,6.5,6.0
